airport_id,name,city,country,latitude,longitude,geolocation
190,ALBANO MACHADO,HUAMBO,ANGOLA,-12.805,15.755,AAAAAAEBAAAAXI/C9SicKcDD9Shcj4IvQA==
191,ALBANY INTL,ALBANY,UNITED STATES,42.748056,-73.803056,AAAAAAEBAAAAzcmLTMBfRUDSNv5EZXNSwA==
195,ALBANY,ALBANY,AUSTRALIA,-34.943333,117.808889,AAAAAAEBAAAAaR7AIr94QcAGRl7WxHNdQA==
196,AL-BAYDA,AL-BAYDA,YEMEN,14.1,45.433333,AAAAAAEBAAAAMzMzMzMzLECHo6t0d7dGQA==
197,ALBENGA,ALBENGA,ITALY,44.044722,8.126389,AAAAAAEBAAAAs7RTc7kFRkD2JRsPtkAgQA==
198,ALBERNI VALLEY REGIONAL,PORT ALBERNI,CANADA,49.322222,-124.936111,AAAAAAEBAAAAngYMkj6pSEBBmxw+6TtfwA==
199,ALBERT LEA MUN,ALBERT LEA,UNITED STATES,43.681389,-93.367222,AAAAAAEBAAAAVW03wTfXRUDKF7SQgFdXwA==
201,ALBERTO ACUNA ONGAY,CAMPECHE,MEXICO,19.815833,-90.500833,AAAAAAEBAAAAYf91btrQM0B88NqlDaBWwA==
202,ALBERTO CARNEVALLI,MERIDA,VENEZUELA,8.585556,-71.158611,AAAAAAEBAAAAAvT7/s0rIUBLcsCuJspRwA==
203,ALBERTO DELGADO,TRINIDAD,CUBA,21.790278,-79.994444,AAAAAAEBAAAAkL+0qE/KNUAFbXL4pP9TwA==
204,ALBERTO LIERAS CAMARGO,SOGAMOSO,COLOMBIA,5.68,-72.973889,AAAAAAEBAAAAuB6F61G4FkDJO4cyVD5SwA==
205,ALBERTUS,FREEPORT,UNITED STATES,42.246111,-89.581944,AAAAAAEBAAAAyhe0kIAfRUCeBgySPmVWwA==
206,ALBERTVILLE,ALBERTVILLE,FRANCE,45.627222,6.329722,AAAAAAEBAAAAdqp8z0jQRkA8FtukolEZQA==
208,ALBION MUN,ALBION,UNITED STATES,41.728611,-98.055833,AAAAAAEBAAAAwEAQIEPdREBoQpPEkoNYwA==
209,AL-BOUGH,AL-BOUGH,YEMEN,17.346667,44.621667,AAAAAAEBAAAAOZojK79YMUBQAMXIkk9GQA==
210,ALBUQUERQUE INTL SUNPORT,ALBUQUERQUE,UNITED STATES,35.040278,-106.609167,AAAAAAEBAAAAyF9a1CeFQUBbs5WX/KZawA==
211,ALBURY,ALBURY,AUSTRALIA,-36.069444,146.953333,AAAAAAEBAAAAo3N+iuMIQsBSJjW0gV5iQA==
212,ALCANTARILLA AB,MURCIA,SPAIN,37.9525,-1.230833,AAAAAAEBAAAAUrgehev5QkCuZp3xfbHzvw==
213,ALCARABAN,EL YOPAL,COLOMBIA,5.319167,-72.384167,AAAAAAEBAAAAiNnLttNGFUD1TC8xlhhSwA==
214,ALDERGROVE,BELFAST,UNITED KINGDOM,54.6575,-6.215833,AAAAAAEBAAAAXI/C9ShUS0Acl3FTA90YwA==
216,ALDERNEY,ALDERNEY,UNITED KINGDOM,49.706111,-2.214722,AAAAAAEBAAAARSxi2GHaSECM2v0qwLcBwA==
217,ALEGRETE,ALEGRETE,BRAZIL,-29.800278,-55.763056,AAAAAAEBAAAAUrXdBN/MPcAfgqrRq+FLwA==
218,ALEJANDRO VELAZCO ASTETE,CUZCO,PERU,-13.535833,-71.938889,AAAAAAEBAAAAMjz2s1gSK8C/ZOPBFvxRwA==
219,ALEKSANDROWICE,BIELSKO-BIALA,POLAND,49.805,19.001944,AAAAAAEBAAAA16NwPQrnSEBmbOhmfwAzQA==
220,ALEPPO INTL,ALEPPO,SYRIA,36.180556,37.226667,AAAAAAEBAAAAXYyBdRwXQkCNCpxsA51CQA==
221,ALERT BAY,ALERT BAY,CANADA,50.582222,-126.915556,AAAAAAEBAAAAgIEgQIZKSUAFajF4mLpfwA==
222,ALERT,ALERT,CANADA,82.517778,-62.280556,AAAAAAEBAAAApyVWRiOhVEApWU5C6SNPwA==
223,ALERTA,ALERTA,PERU,-11.683333,-69.333333,AAAAAAEBAAAAHY6u0t1dJ8Bda+9TVVVRwA==
224,ALESSANDRIA,ALESSANDRIA,ITALY,44.924444,8.625556,AAAAAAEBAAAA4X1VLlR2RkAWokPgSEAhQA==
225,ALEXANDER BAY,ALEXANDER BAY,SOUTH AFRICAN REP,-28.572778,16.535,AAAAAAEBAAAASN45lKGSPMApXI/C9YgwQA==
226,ALEXANDER FLD SOUTH WOOD CO,WISCONSIN RAPIDS,UNITED STATES,44.360278,-89.838889,AAAAAAEBAAAA8bvplh0uRkBY/nxbsHVWwA==
229,ALEXANDER,SAUDARKROKUR,ICELAND,65.731667,-19.572778,AAAAAAEBAAAA/yPTodNuUEBI3jmUoZIzwA==
230,ALEXANDRA,ALEXANDRA,NEW ZEALAND,-45.211667,169.373333,AAAAAAEBAAAAO1J95xebRsCQMAxY8itlQA==
231,ALEXANDRIA ARMY,ALEXANDRIA,GREECE,40.655556,22.4875,AAAAAAEBAAAAKVlOQulTREDNzMzMzHw2QA==
232,ALEXANDRIA ESLER REGL,ALEXANDRIA,UNITED STATES,31.395,-92.295833,AAAAAAEBAAAAhetRuB5lP0D3BInt7hJXwA==
233,ALEXANDRIA INTL,ALEXANDRIA,EGYPT,31.181667,29.946389,AAAAAAEBAAAAL8N/uoEuP0BNS6yMRvI9QA==
234,ALEXANDRIA INTL,ALEXANDRIA,UNITED STATES,31.3275,-92.548611,AAAAAAEBAAAApHA9CtdTP0B0zk9xHCNXwA==
237,ALEXANDRIA,ALEXANDRIA,CANADA,45.333333,-74.616667,AAAAAAEBAAAAu9bep6qqRkBwYd14d6dSwA==
238,ALEXANDROS PAPADIAMANDIS,SKIATHOS,GREECE,39.178333,23.504167,AAAAAAEBAAAAF2ahndOWQ0DxuKgWEYE3QA==
239,ALEXIS LAKE,ALEXIS LAKE,CANADA,52.066667,-123.266667,AAAAAAEBAAAAeVxUi4gISkAJ+3YSEdFewA==
240,ALFENAS,ALFENAS,BRAZIL,-21.431667,-45.933056,AAAAAAEBAAAAL8N/uoFuNcAVqwZhbvdGwA==
241,ALFEREZ DAVID FIGUEROA FERNAN*,HUANUCO,PERU,-9.9,-76.216667,AAAAAAEBAAAAzczMzMzMI8DWx0Pf3Q1TwA==
242,ALFONSO BONILLA ARAGON INTL,CALI,COLOMBIA,3.543056,-76.381667,AAAAAAEBAAAAMCx/vi1YDECYvWw7bRhTwA==
243,ALFONSO LOPEZ,VALLEDUPAR,COLOMBIA,10.435,-73.249444,AAAAAAEBAAAAH4XrUbjeJEC9i/fj9k9SwA==
244,ALFREDO VASQUEZ COBO,LETICIA,COLOMBIA,-4.193056,-69.942778,AAAAAAEBAAAAsi/ZeLDFEMDaWIl5VnxRwA==
