airport_id,name,city,country,latitude,longitude,geolocation
3979,FORT WORTH NAS JRB,FT WORTH,UNITED STATES,32.769167,-97.441667,AAAAAAEBAAAAyxRzEHRiQEA8LqpFRFxYwA==
3980,FORTE COIMBRA,CORUMBA,BRAZIL,-19.906111,-57.779444,AAAAAAEBAAAAvYv34/bnM8AeiCzSxONMwA==
3981,FORTE PRINCIPE DA BEIRA,COSTA MARQUES,BRAZIL,-12.418333,-64.418333,AAAAAAEBAAAA1qwzvi/WKMCbdcb3xRpQwA==
3982,FOSS,SIOUX FALLS,UNITED STATES,43.581389,-96.741667,AAAAAAEBAAAAiKBq9GrKRUBwYd14dy9YwA==
3983,FOSSTON MUN,FOSSTON,UNITED STATES,47.592778,-95.773611,AAAAAAEBAAAA5+RFJuDLR0DbNLbXgvFXwA==
3985,FOSTORIA METROPOLITAN,FOSTORIA,UNITED STATES,41.190833,-83.394444,AAAAAAEBAAAAsP86N22YRECeBgySPtlUwA==
3986,FOUGAMOU,FOUGAMOU,GABON,-1.283333,10.616667,AAAAAAEBAAAAhQoOL4iI9L98C+vGuzslQA==
3988,FOUR CORNERS REGL,FARMINGTON,UNITED STATES,36.741111,-108.23,AAAAAAEBAAAAWdqpudxeQkAfhetRuA5bwA==
3989,FOURCHAMBAULT,NEVERS,FRANCE,47.003611,3.110833,AAAAAAEBAAAA83NDU3aAR0BhinJp/OIIQA==
3991,FOWLMERE,FOWLMERE,UNITED KINGDOM,52.0775,0.061667,AAAAAAEBAAAAUrgehesJSkAMIHwo0ZKvPw==
3993,FOX CREEK,FOX CREEK,CANADA,54.38,-116.765556,AAAAAAEBAAAAcT0K16MwS0Bs0Jfe/jBdwA==
3994,FOX HARBOUR,ST LEWIS,CANADA,52.366667,-55.683333,AAAAAAEBAAAA38K68e4uSkCHo6t0d9dLwA==
3995,FOX HARB'R,NOVA SCOTIA,CANADA,45.87,-63.461111,AAAAAAEBAAAAj8L1KFzvRkC2aWyvBbtPwA==
3996,FOX LAKE,FOX LAKE,CANADA,58.473333,-114.542778,AAAAAAEBAAAADI/9LJY8TUBAv+/fvKJcwA==
3998,FRAMNES,NARVIK,NORWAY,68.436944,17.386667,AAAAAAEBAAAAvYv34/YbUUBDcceb/GIxQA==
3999,FRANCA,FRANCA,BRAZIL,-20.590278,-47.3825,AAAAAAEBAAAAXYyBdRyXNMApXI/C9bBHwA==
4000,FRANCAZAL AB,TOULOUSE,FRANCE,43.549167,1.357222,AAAAAAEBAAAAboWwGkvGRUBflnZqLrf1Pw==
4001,FRANCISCO BELTRAO,FRANCISCO BELTRAO,BRAZIL,-26.059444,-53.063889,AAAAAAEBAAAAhPHTuDcPOsB+ycaDLYhKwA==
4002,FRANCISCO DE ASSIS,JUIZ DE FORA,BRAZIL,-21.793056,-43.385556,AAAAAAEBAAAAhuXPtwXLNcBnYyXmWbFFwA==
4003,FRANCISCO DE ORELLANA,COCA,ECUADOR,-0.462778,-76.986667,AAAAAAEBAAAA/rrTnSee3b+3QliNJT9TwA==
